num_steps,num_episodes,rew_mean,rew_std,entropy
340000,98,3.9381443298969074,3.5892578361299745,2.3610997306757153
350000,98,4.206185567010309,4.716582163576828,2.3549822643520577
360000,98,3.8762886597938144,3.3744269676456904,2.3782604565069754
370000,100,3.95959595959596,3.038205184947564,2.3310973530192807
380000,92,4.087912087912088,3.353359318287587,2.329108374922133
390000,90,4.876404494382022,4.612684574350571,2.321883203378291
400000,95,4.457446808510638,4.170986141922175,2.341101318380168
410000,95,4.361702127659575,3.9271316581199867,2.2662149829525977
420000,91,4.366666666666666,3.500634863056192,2.278338522114974
430000,89,4.954545454545454,4.499770425732575,2.2599178775841313
440000,104,4.019417475728155,3.37316820486844,2.296776472491021
450000,89,5.170454545454546,4.403566712721454,2.2582624971729137
460000,85,5.690476190476191,4.317671855228593,2.2295485269013637
470000,85,5.345238095238095,4.3328590792285775,2.2619024967161194
480000,91,5.2555555555555555,4.059450184750287,2.2420270408160143
490000,91,5.344444444444444,5.142764304472647,2.2163838119088606
500000,87,5.755813953488372,5.5341141735888435,2.192362650793219
510000,87,5.767441860465116,5.114217343574427,2.144666060143405
520000,90,5.202247191011236,4.083894856301221,2.1746896725844174
530000,95,4.787234042553192,4.519160956829788,2.1435959367360673
540000,91,5.2444444444444445,4.308418403057259,2.191058835918808
550000,86,6.035294117647059,5.736256329541131,2.136901345930061
560000,98,5.11340206185567,4.151453077270567,2.1781673360050036
570000,88,5.666666666666667,5.292950563768576,2.1425552316154346
580000,92,5.230769230769231,5.199486287128975,2.128932926286612
590000,78,7.025974025974026,6.574199918678616,2.14768300743048
600000,82,6.444444444444445,6.2814640111566975,2.13939173772587
610000,89,5.6022727272727275,5.428334276417484,2.1486911633278907
620000,90,5.359550561797753,4.381388602959127,2.1242682648766844
630000,93,5.391304347826087,5.115952292965029,2.1202443975129905
640000,85,6.857142857142857,7.139999428342742,2.0856725952424413
650000,92,5.43956043956044,4.27928511850612,2.0959235438905237
660000,85,6.083333333333333,5.423073134507982,2.11376953796993
670000,87,6.3604651162790695,5.49822971657469,2.035263817363835
680000,87,6.255813953488372,5.588996761727099,1.9945472939407294
690000,83,7.085365853658536,6.5466454256791495,2.0288795420372603
700000,88,6.183908045977011,5.6007567953982464,1.9943324426342453
710000,95,5.98936170212766,5.077054517266801,2.021928734845104
720000,89,5.943181818181818,4.9574506703305,1.9946523891846801
730000,84,6.313253012048193,5.7914097392008275,2.024884376948841
740000,91,6.066666666666666,5.229828975321383,2.054276802832412
750000,81,6.7125,6.395689466351536,1.988041897614652
760000,84,6.698795180722891,5.295451423375175,2.040121866724321
770000,80,7.506329113924051,7.410005923777536,1.9821284673793997
780000,71,8.1,8.275868534480233,1.9669606590070638
790000,87,6.709302325581396,5.9881011453718695,2.028710202811462
800000,74,7.863013698630137,7.96622161429316,1.9792207567393951
810000,85,6.261904761904762,6.537654755737368,2.0633363421204662
820000,83,6.2439024390243905,5.05231406920596,2.0802753696542458
830000,79,7.769230769230769,7.608906853868571,1.9926762650080654
840000,82,7.08641975308642,6.883864710660106,1.982701894293361
850000,84,6.325301204819277,4.9188803548592475,2.0162515509564995
860000,82,7.0,5.704665623552638,1.9780132718222245
870000,90,6.168539325842697,5.9174773608243925,1.9692050854461425
880000,88,6.0344827586206895,4.602468792434656,2.0001023563733717
890000,86,5.741176470588235,4.62258634297618,2.005456782478635
900000,77,7.276315789473684,6.758228287390678,2.028120563009368
910000,76,7.706666666666667,7.812423155177629,1.9551988260179962
920000,77,7.868421052631579,5.910165429297394,1.9730281139000843
930000,76,7.746666666666667,6.659516165274739,1.9359933083219214
940000,81,7.0125,5.72165568258,1.9574796300332786
950000,78,7.12987012987013,5.989928016718683,1.9722629735308663
960000,80,6.417721518987341,6.6667654748859935,1.9848078788120713
970000,84,6.72289156626506,6.296515106169287,1.949435410790643
980000,77,7.394736842105263,6.3641242572978465,1.950591568375855
990000,71,8.414285714285715,8.025838375687183,1.9147709066438168
1000000,76,7.986666666666666,7.1152293630556205,1.8721972565339837
1010000,82,6.987654320987654,5.3112827195904,1.8526564330224886
1020000,81,7.6125,6.656751741652981,1.7940153298996206
1030000,75,8.243243243243244,6.387933749615863,1.7786719020091744
1040000,83,7.0,6.450562463658574,1.8483004639644358
1050000,73,9.152777777777779,7.432398525342015,1.8114721195547412
1060000,86,6.788235294117647,7.478744968079728,1.8226136282420793
1070000,74,7.972602739726027,8.029010076889119,1.84350966314615
1080000,90,6.348314606741573,5.306559696369669,1.783872052580669
1090000,74,8.602739726027398,9.065574997105692,1.812622725311564
1100000,82,6.691358024691358,5.719021705403823,1.8333532200401177
1110000,86,6.647058823529412,5.394345366929732,1.8350153961165365
1120000,77,7.934210526315789,7.400809924233027,1.7058977939434443
1130000,77,8.486842105263158,6.818113300251709,1.7483182589145156
1140000,73,9.222222222222221,8.383552386505613,1.7608767877907634
1150000,81,6.8375,7.027524012765805,1.7987258590521327
1160000,82,7.666666666666667,6.081747637068448,1.7881424111736866
1170000,70,9.623188405797102,8.921723121530777,1.7396081166337418
1180000,86,6.705882352941177,5.593743415453008,1.8067114290441955
1190000,73,8.902777777777779,7.28613546825259,1.7725921990246258
1200000,78,7.4935064935064934,7.367220090396882,1.8387362697359393
1210000,80,7.367088607594937,5.735029416652561,1.7959510592907064
1220000,73,8.180555555555555,7.335845003377609,1.8105501155382502
1230000,80,7.227848101265823,5.98299143477344,1.8698764351609642
1240000,77,7.947368421052632,7.146759915186641,1.8689049411276308
1250000,85,7.238095238095238,6.406133682092068,1.8740391092207698
1260000,79,7.666666666666667,5.761647437719632,1.8129016997203227
1270000,81,7.1,7.31881137890573,1.867432880273481
1280000,77,7.4605263157894735,6.681555108682417,1.80721517924843
1290000,85,6.666666666666667,6.383261842195709,1.8044146545859923
1300000,77,7.75,6.67896343990435,1.870649764306141
1310000,84,7.156626506024097,5.78840121445796,1.8215707786021245
1320000,65,11.296875,9.046200320265687,1.758792807147293
1330000,83,7.2439024390243905,4.875426124239899,1.8602415806052697
1340000,74,8.698630136986301,7.409148235494422,1.8696507522562569
1350000,70,9.608695652173912,8.536736285877572,1.8821797046439417
1360000,75,8.486486486486486,7.571717009109201,1.876563622962571
1370000,86,6.847058823529411,5.70346825826272,1.9018898464644525
1380000,77,7.328947368421052,6.56022335526117,1.9039918925848418
1390000,81,7.3875,5.832010266623336,1.9395212769452457
1400000,76,7.84,8.568220351975082,1.8887200582396975
1410000,83,7.439024390243903,5.633301594363971,1.8987894807838976
1420000,81,7.3375,7.5364841769886315,1.9242530211958073
1430000,74,8.438356164383562,7.055525962879944,1.8638961309624447
1440000,93,5.619565217391305,4.6387835533081665,1.9397127974986452
1450000,78,8.402597402597403,7.5321988308544885,1.871523896450672
1460000,79,8.102564102564102,7.567795708587575,1.8906061858492649
1470000,83,6.634146341463414,5.0521963229768945,1.9259159481128783
1480000,78,8.558441558441558,8.547033367750576,1.8951066521688011
1490000,73,9.375,7.192661190407901,1.894647236228792
1500000,76,8.68,9.489868281488421,1.8128690653598452
1510000,76,8.626666666666667,6.9527420649857445,1.8062548012389077
1520000,75,7.986486486486487,6.529544587495184,1.8530926086933044
1530000,75,8.094594594594595,6.382342446619166,1.8724075622699634
1540000,71,9.157142857142857,6.7752400364135,1.8203295884772375
1550000,76,8.653333333333334,7.635868574621284,1.8188872843767105
1560000,69,10.382352941176471,9.021264766820646,1.7593287554354515
1570000,72,8.816901408450704,6.516090288835134,1.7796938839195586
1580000,81,7.85,5.98978296768756,1.7787257881402463
1590000,70,10.057971014492754,10.614297246080183,1.7617745587049474
1600000,71,9.342857142857143,6.434029429049695,1.8864374456929218
1610000,82,7.432098765432099,7.323121292982035,1.9139645468120339
1620000,82,7.3580246913580245,5.011859126175127,1.9281329148210524
1630000,75,8.5,7.528773634027818,1.8873052837021895
1640000,75,8.58108108108108,6.612859619315778,1.8606684014918355
1650000,75,8.41891891891892,6.358664564787162,1.8844703000052134
1660000,87,6.244186046511628,4.732215289563868,1.9138041460354633
1670000,78,8.35064935064935,7.500244556646974,1.9186495879722831
1680000,77,7.315789473684211,6.601854855616415,1.978206922898318
1690000,74,8.753424657534246,8.398924950641915,1.9084046459243695
1700000,80,7.291139240506329,6.518040978377012,1.9650952807633373
1710000,76,9.146666666666667,6.927613024860888,1.9210608609838034
1720000,74,9.273972602739725,7.872720846917916,1.8984779791168611
1730000,76,8.786666666666667,7.168994970627953,1.8712395387639371
1740000,74,8.36986301369863,8.080937910631496,1.8935387742943057
1750000,76,8.306666666666667,7.223984742201187,1.8865140897085104
1760000,65,10.03125,9.065678321973486,1.8510020344815388
1770000,79,7.576923076923077,7.55920093248437,1.924876029846394
1780000,73,8.555555555555555,6.512570939875709,1.90838609501645
1790000,74,8.561643835616438,6.461659953340086,1.8958432639029994
1800000,67,9.606060606060606,9.193012477994866,1.877085014286606
1810000,70,9.898550724637682,7.947554409251107,1.8558137178684468
1820000,79,7.346153846153846,6.318119898613387,1.8898323296509203
1830000,71,9.728571428571428,9.385279398491827,1.8355086478488079
1840000,79,8.435897435897436,7.231678429836156,1.8242725406524845
1850000,71,9.2,8.53664370313566,1.8389529782744742
1860000,71,9.471428571428572,8.741888368361721,1.7842296657070251
1870000,82,7.185185185185185,6.208538746014893,1.8637615673918329
1880000,74,8.794520547945206,8.384524074043076,1.762614405401086
1890000,78,8.090909090909092,6.594334085462805,1.834578474897681
1900000,72,8.690140845070422,7.1455522446883775,1.7470194837352524
1910000,76,7.653333333333333,7.84600676919299,1.8247296244491689
1920000,77,7.697368421052632,6.4990277346573055,1.7209088002257813
1930000,75,8.22972972972973,8.97375647832943,1.7427681120979432
1940000,70,9.884057971014492,8.511775699691386,1.7249850252764747
1950000,74,8.849315068493151,8.263919321034509,1.7420416913101555
1960000,70,8.927536231884059,9.145076826453167,1.7655352307781476
1970000,81,6.675,5.591902627907607,1.836357221412033
1980000,86,7.447058823529412,7.011764705882354,1.8409747228411573
1990000,83,7.146341463414634,6.33057226099627,1.9086741763801118
2000000,86,6.411764705882353,6.170697582163546,1.8375497170658768
2010000,74,8.972602739726028,7.726440288199719,1.8418394258086486
2020000,77,8.342105263157896,7.515865029842832,1.8810035367610625
2030000,65,10.265625,10.248844732913803,1.8430057917092502
2040000,77,8.776315789473685,6.652262543895016,1.845748238679053
2050000,78,8.948051948051948,7.921524357921621,1.8509465788533104
2060000,77,8.0,6.253420116855635,1.9261870280904658
2070000,73,8.944444444444445,8.029267451173185,1.8672132833237622
2080000,76,8.72,6.824583015344845,1.8613578849157657
2090000,81,8.3125,9.662548512167998,1.9278057241873103
2100000,81,8.175,5.97029103143222,1.8995744384356392
2110000,79,7.743589743589744,6.570009361574521,1.8721874040668935
2120000,67,9.5,8.29612907178749,1.898520293326184
2130000,72,8.859154929577464,9.464977362305447,1.9312767681028824
2140000,69,9.926470588235293,9.421995817782527,1.8969308987502564
2150000,74,9.726027397260275,7.753497264774511,1.9230703653357948
2160000,67,11.181818181818182,9.575709627804775,1.8608652369956682
2170000,64,11.682539682539682,9.98065652455407,1.896599055526217
2180000,75,8.662162162162161,7.644600686064583,1.9664481342371116
2190000,66,10.861538461538462,9.185066346357127,1.9499162982149358
2200000,75,8.202702702702704,7.1470646587209945,1.9447575137874118
2210000,78,8.116883116883116,7.705579064976108,1.9479141662347248
2220000,71,9.085714285714285,6.917354690802499,1.925067103141623
2230000,78,9.35064935064935,10.174792168994895,1.9053092725031886
2240000,79,8.294871794871796,7.607535020368131,1.9650471299607677
2250000,75,9.445945945945946,10.265583923692576,1.9340542475915259
2260000,77,8.210526315789474,8.1971044140979,1.9272021572602975
2270000,74,9.013698630136986,7.857451137291891,1.893754536048905
2280000,80,7.379746835443038,6.44018986564278,1.9049714678802865
2290000,77,7.7631578947368425,7.265398205214385,1.8931312338918331
2300000,81,7.275,6.532562667131483,1.999760572357003
2310000,68,9.925373134328359,9.963086246105567,1.879402854641034
2320000,69,10.029411764705882,9.437052425281351,1.9282817070201688
2330000,75,8.472972972972974,7.82273708402347,1.9539374573906414
2340000,80,7.708860759493671,6.888169823128466,1.9232526893817656
2350000,78,8.909090909090908,7.774720637536473,1.9067212589548161
2360000,71,9.028571428571428,7.848514743151687,1.8917037518956452
2370000,79,8.935897435897436,6.967580133199584,1.9089481388690044
2380000,72,8.845070422535212,8.238774500903082,1.9151432226648157
2390000,78,7.675324675324675,5.882930532297036,1.9490153172380924
2400000,72,9.408450704225352,8.710649892134603,1.8917614451796758
2410000,80,8.49367088607595,6.966235780891655,1.8684936861942836
2420000,76,9.066666666666666,7.5194562451165465,1.9252728888280886
2430000,75,9.567567567567568,9.083815547119134,1.86173949942498
2440000,71,9.257142857142858,9.175566489768533,1.9401857540537364
2450000,73,9.13888888888889,7.661783871838558,1.8997093865119175
2460000,70,9.681159420289855,9.247785091065168,1.8823046733092723
2470000,66,11.215384615384615,9.996141267343434,1.8471443834392964
2480000,78,8.493506493506494,7.0519839275832785,1.91432851270916
