num_steps,num_episodes,rew_mean,rew_std,entropy
1920000,179,13.235955056179776,10.505239433184846,1.9915921914124732
1950000,177,12.846590909090908,10.942218580754465,1.9799163429466644
1980000,179,12.331460674157304,10.262138282838228,1.9834371734889855
2010000,189,11.952127659574469,10.064306306472968,1.9846537534061488
2040000,171,13.4,10.66075816749833,1.9605595267385263
2070000,186,11.827027027027027,10.408537261219198,1.9633602468441005
2100000,185,12.456521739130435,10.014568782613724,1.9499389169338477
2130000,184,12.344262295081966,10.986159070505858,1.9498391532769326
2160000,167,14.518072289156626,11.914212880970673,1.9202526562070759
2190000,178,13.423728813559322,11.089064277382779,1.9113187123874025
2220000,176,13.965714285714286,10.698943682362637,1.918121475762753
2250000,174,13.560693641618498,11.888356551019962,1.92977078319932
2280000,175,13.844827586206897,12.195441569915213,1.9158002298053636
2310000,173,14.30813953488372,11.25824468036006,1.9058186151799834
2340000,167,14.198795180722891,13.315549330391791,1.9006346908502265
2370000,167,14.22289156626506,11.160049502213536,1.8774895864907488
2400000,163,14.592592592592593,11.710265389848596,1.8886262417395319
2430000,147,16.47945205479452,13.959932477209524,1.8635363248882708
2460000,158,15.547770700636942,14.263420704356301,1.8422559164777808
2490000,171,13.717647058823529,12.361811940960266,1.8669857331527215
2520000,155,15.603896103896103,13.900116243169379,1.8616435238784068
2550000,169,15.029761904761905,14.63094632686147,1.8510825508501068
2580000,162,15.664596273291925,12.97486538154839,1.841195195558922
2610000,153,17.25,13.905815708771485,1.8379025008644967
2640000,159,15.936708860759493,12.615884875573292,1.8022680665396362
2670000,140,18.575539568345324,15.80455194299851,1.7901955641507148
2700000,151,17.16,13.653854156732939,1.7795317857542365
2730000,154,15.790849673202615,12.964836099814333,1.8059758040292173
2760000,156,16.15483870967742,12.126825468428553,1.7628986256515433
2790000,162,16.161490683229815,14.672787429304815,1.7768622478653262
2820000,166,15.375757575757575,10.920845519021016,1.7620362462916177
2850000,136,20.20740740740741,17.261859603825055,1.7119038257770143
2880000,132,20.916030534351144,17.362782944320497,1.7228920038793705
2910000,138,18.970802919708028,16.355959027390746,1.7275960564613961
2940000,167,15.578313253012048,14.690887661656621,1.7735437856219542
2970000,147,18.643835616438356,16.067809956397163,1.7399944372815122
3000000,151,17.273333333333333,15.949042465162464,1.7303977175823377
3030000,136,19.68148148148148,14.164981260189117,1.7221718993864676
3060000,151,17.58,16.35166454319967,1.71859772543825
3090000,143,18.45774647887324,16.88762495473485,1.7121828944908217
3120000,149,17.62837837837838,15.88356298334914,1.7190257500734984
3150000,143,18.859154929577464,16.95669361758906,1.715503093529721
3180000,142,19.47517730496454,16.257930551568574,1.6704024157321276
3210000,138,19.503649635036496,17.144352387796758,1.6905609602935112
3240000,148,18.435374149659864,16.699043936627838,1.7008527787982253
3270000,146,18.379310344827587,15.110658017812206,1.6606861855593495
3300000,141,19.364285714285714,17.348614895014247,1.6685192556755744
3330000,148,17.272108843537413,14.446974507609795,1.6720814482505932
3360000,142,19.53900709219858,16.277521258008367,1.6761218996607947
3390000,139,19.05072463768116,15.613224821604687,1.6753751019091117
3420000,137,19.580882352941178,15.868742466142281,1.7037067870596114
3450000,142,18.9645390070922,14.631362093201684,1.6917802687426025
3480000,122,23.297520661157026,19.67615691332208,1.6143025711340702
3510000,131,21.546153846153846,18.063610482642694,1.6390801910459902
3540000,124,23.463414634146343,19.812656168162675,1.6093907787418797
3570000,127,22.72222222222222,18.778846123454844,1.6423618971026295
3600000,121,23.875,17.76915046740652,1.612208984115672
3630000,118,24.982905982905983,19.780411144855833,1.592800051923473
3660000,135,20.328358208955223,15.596486458232688,1.621552374892632
3690000,119,23.508474576271187,17.661480523536298,1.6028242706040536
3720000,119,23.872881355932204,18.504487137993337,1.5939488187454807
3750000,131,21.93076923076923,16.111719796250785,1.595706785958465
3780000,122,22.958677685950413,19.36529941395127,1.5797851839439556
3810000,112,25.74774774774775,20.106683245716482,1.609312449062977
