num_steps,num_episodes,rew_mean,rew_std
1280000,134,14.729323308270677,1.4359918086183954
1300000,132,14.900763358778626,1.5719631419258697
1320000,135,15.007462686567164,0.9962337184325957
1340000,134,15.097744360902256,1.7379646796991401
1360000,134,15.1203007518797,1.6680887896932184
1380000,132,15.13740458015267,1.4555152220110033
1400000,127,15.261904761904763,1.5490835561536302
1420000,131,15.430769230769231,1.4829205152124203
1440000,134,15.18796992481203,2.06346804920089
1460000,131,15.430769230769231,1.8643970423064256
1480000,123,15.795081967213115,1.5520400355563966
1500000,127,15.738095238095237,1.5490835561536302
1520000,120,15.739495798319327,2.5053293947169437
1540000,119,16.11864406779661,1.611239608718113
1560000,118,16.102564102564102,2.0975550088428263
1580000,117,16.18103448275862,2.6379169483509424
1600000,116,16.243478260869566,2.379591869821108
1620000,121,15.816666666666666,2.588382163093816
1640000,118,16.47008547008547,3.267484590361586
1660000,118,16.444444444444443,2.895456046462983
1680000,115,16.62280701754386,3.3361137988005214
1700000,115,16.62280701754386,3.5771947032855107
1720000,114,16.707964601769913,3.4504877580797864
1740000,115,16.736842105263158,2.929141636974084
1760000,109,17.314814814814813,3.9361763457657366
1780000,100,18.060606060606062,3.5414377660594796
1800000,109,17.35185185185185,4.028405655616162
1820000,108,17.560747663551403,4.223161702812481
1840000,107,17.79245283018868,4.371254690421244
1860000,109,17.296296296296298,4.101172504566042
1880000,107,17.61320754716981,4.1563108522246495
1900000,104,18.019417475728154,4.031383155456991
1920000,100,18.565656565656564,4.9157787922747405
1940000,96,19.263157894736842,5.2077079033532785
1960000,98,18.927835051546392,5.413323431195494
1980000,96,19.53684210526316,5.756114417347485
2000000,90,20.39325842696629,5.9579386706207735
2020000,92,20.87912087912088,5.986863210002242
2040000,88,21.011494252873565,5.7124470929888576
2060000,79,23.26923076923077,5.947792257772405
2080000,90,21.528089887640448,6.665507200439531
2100000,92,21.153846153846153,6.837072628704298
2120000,89,21.977272727272727,7.212642424507239
2140000,94,21.06451612903226,6.631314522230914
2160000,83,23.414634146341463,7.674714929975901
2180000,81,24.2,8.052018380505597
2200000,83,24.0609756097561,8.34813775199202
2220000,81,24.3125,7.975891407861569
2240000,84,23.03614457831325,10.27741210585403
2260000,81,24.675,8.545137506207842
2280000,96,20.28421052631579,8.382517092006669
2300000,78,24.493506493506494,8.9683764426005
2320000,71,27.814285714285713,8.078707211186803
2340000,73,27.208333333333332,8.866192813152667
2360000,74,27.36986301369863,8.188710653882916
2380000,69,29.044117647058822,7.430924698078436
2400000,77,26.789473684210527,9.212856848010775
2420000,72,28.366197183098592,8.251742345454486
2440000,68,29.940298507462686,7.810976962257868
2460000,67,30.348484848484848,6.946750764865857
2480000,67,30.803030303030305,7.859022410039684
2500000,65,30.828125,8.866289189078765
2520000,230,6.528384279475983,4.098708659235245
2540000,122,15.950413223140496,10.631196289223073
2560000,134,13.639097744360901,14.479614057221452
2580000,113,16.330357142857142,14.857290413930716
2600000,90,22.49438202247191,13.316479269075659
2620000,78,26.051948051948052,10.16729682740315
2640000,71,27.9,8.7
2660000,77,26.38157894736842,9.560014183626285
2680000,70,29.82608695652174,9.763814474573339
2700000,74,27.876712328767123,10.002664310112927
2720000,69,29.970588235294116,9.455733691997636
2740000,76,27.493333333333332,9.057407036355505
2760000,77,27.43421052631579,9.594866399217686
2780000,76,27.493333333333332,9.245356792586332
2800000,72,29.35211267605634,10.291660224885351
2820000,74,27.767123287671232,9.949902660699896
2840000,64,32.285714285714285,10.716296107684489
2860000,68,30.17910447761194,10.95571189282726
2880000,73,29.125,11.37728914695119
2900000,76,27.813333333333333,9.943431109140457
2920000,76,26.44,10.836038636574408
2940000,79,26.307692307692307,10.585800470329731
2960000,75,28.256756756756758,12.05624298389754
2980000,74,28.10958904109589,11.712961610716842
3000000,79,26.115384615384617,11.813704307602066
3020000,73,28.875,11.250848733416614
3040000,74,28.602739726027398,10.780169167894437
3060000,68,30.44776119402985,11.034929051283125
3080000,73,29.01388888888889,11.005671587811687
3100000,68,30.73134328358209,11.285417998001629
3120000,66,32.753846153846155,11.372072092131628
3140000,63,33.774193548387096,9.134160192056626
3160000,56,36.945454545454545,11.681248659622561
3180000,63,33.225806451612904,10.170195790354871
3200000,65,32.875,9.857579571071186
3220000,63,33.38709677419355,10.477864284212536
3240000,61,34.65,8.73656110835379
3260000,67,30.515151515151516,10.520171712278799
3280000,67,30.560606060606062,10.46513517247365
3300000,63,33.83870967741935,10.54054162222731
3320000,69,30.191176470588236,11.1477475342109
